org_name,url,zone_primary,zone_secondary,status,status_rationale,description,org_type,function,geography,founding_year,source,date_identified,notes,schema_version,key_figures,key_outputs
Center for Sleep and Consciousness (UW–Madison),https://centerforsleepandconsciousness.psychiatry.wisc.edu/,consciousness-science,,included,Primary institutional home of Integrated Information Theory (IIT); directly relevant to AI consciousness assessment frameworks.,"Giulio Tononi's lab at UW–Madison; the primary home of Integrated Information Theory (IIT), which proposes a mathematical measure of consciousness (Φ) based on information integration. IIT's framework has been directly applied to AI consciousness assessment — it is one of six theories used in Butlin et al. (2023) to derive indicators for evaluating AI systems, and a core input to Rethink Priorities' Digital Consciousness Model.",university-centre,research,USA,1997,https://centerforsleepandconsciousness.psychiatry.wisc.edu/,2026-03-17,,1.0,"Giulio Tononi (Director, IIT originator)|https://centerforsleepandconsciousness.psychiatry.wisc.edu/people/principal-investigator-giulio-tononi/","Tononi, G. (2004). An information integration theory of consciousness. BMC Neuroscience|https://pmc.ncbi.nlm.nih.gov/articles/PMC543470/; Tononi, G. et al. (2016). Integrated information theory: from consciousness to its physical substrate. Nature Reviews Neuroscience|https://www.nature.com/articles/nrn.2016.44; Albantakis, L. et al. (2023). Integrated information theory (IIT) 4.0. arXiv|https://arxiv.org/abs/2212.14787"
Center for Consciousness Studies (University of Arizona),https://consciousnesscenter.arizona.edu/,consciousness-science,,excluded,Reclassified to excluded — foundational conference infrastructure but no direct AI consciousness research engagement; MoC conference connections captured under AMCS.,"The longest-running dedicated consciousness research centre, founded with Chalmers' involvement; hosts the annual Toward a Science of Consciousness conference bridging empirical neuroscience and philosophy of mind.",university-centre,research,USA,1998,https://consciousnesscenter.arizona.edu/,2026-03-17,,1.0,,
Center for Consciousness Science (University of Michigan),https://medresearch.umich.edu/labs-departments/centers/consciousness-science,consciousness-science,,included,Multidisciplinary centre with strong empirical grounding relevant to minimal consciousness criteria — directly applicable to AI consciousness debates.,"Multidisciplinary centre at the University of Michigan directed by George Mashour, advancing research on consciousness with emphasis on disorders of consciousness and neural correlates of awareness. Mashour's work on the global neuronal workspace hypothesis and his development of minimal consciousness criteria — distinguishing conscious from unconscious states in biological systems — provides direct methodological precedents for assessing whether AI systems might cross similar thresholds.",university-centre,research,USA,unknown,https://medresearch.umich.edu/labs-departments/centers/consciousness-science,2026-03-17,,1.0,George Mashour (Director)|https://consciousness.med.umich.edu/people-mashour/,"Mashour, G. A. et al. (2020). Conscious processing and the global neuronal workspace hypothesis. Neuron|https://pmc.ncbi.nlm.nih.gov/articles/PMC8770991/"
Sussex Centre for Consciousness Science,https://www.sussex.ac.uk/research/centres/sussex-centre-for-consciousness-science/,consciousness-science,,included,Anil Seth's predictive processing / interoceptive-inference account has direct AI relevance; centre actively hosts AI-consciousness events.,"Directed by Anil Seth; integrates neuroscience, psychology, and computational modelling of consciousness. Seth's predictive processing account — which grounds consciousness in the brain's predictions about internal bodily states — has been directly applied to AI consciousness questions. Seth won the 2025 Berggruen essay prize for ""The Mythology of Conscious AI,"" a sceptical intervention arguing against premature AI consciousness claims.",university-centre,research,UK,2010,https://www.sussex.ac.uk/research/centres/sussex-centre-for-consciousness-science/,2026-03-17,,1.0,Anil Seth (Director)|https://www.anilseth.com/,"Seth, A. K. (2021). Being You: A New Science of Consciousness. Faber & Faber|https://www.anilseth.com/being-you/; Seth, A. K. (2025). The mythology of conscious AI. Noema / Berggruen Prize Essay|https://www.noemamag.com/the-mythology-of-conscious-ai/; Seth, A. K. & Bayne, T. (2022). Theories of consciousness. Nature Reviews Neuroscience|https://www.nature.com/articles/s41583-022-00587-4"
Wellcome Centre for Human Neuroimaging / FIL (UCL),https://www.fil.ion.ucl.ac.uk/,consciousness-science,,included,Karl Friston's institutional base; free energy principle and active inference have growing direct application to AI consciousness and agency modelling.,"Karl Friston's home lab at UCL; the world's leading centre for computational neuroimaging. Friston's free energy principle — a mathematical framework proposing that all adaptive systems minimise prediction error — is increasingly applied to model AI consciousness and agency, providing a formal bridge between biological and artificial systems. The active inference framework derived from this work is now being tested in artificial agents.",university-centre,research,UK,1994,https://www.fil.ion.ucl.ac.uk/,2026-03-17,,1.0,Karl Friston (Scientific Director)|https://www.fil.ion.ucl.ac.uk/~karl/,"Friston, K. (2010). The free-energy principle: a unified brain theory? Nature Reviews Neuroscience|https://www.fil.ion.ucl.ac.uk/~karl/NRN.pdf; Friston, K. et al. (2022). Active inference and the free energy principle. Trends in Cognitive Sciences|https://direct.mit.edu/books/oa-monograph/5299/Active-InferenceThe-Free-Energy-Principle-in-Mind"
UNICOG / NeuroSpin (CEA Paris-Saclay),https://joliot.cea.fr/drf/joliot/en/Pages/research_entities/NeuroSpin.aspx,consciousness-science,,included,Stanislas Dehaene's lab; primary institutional base for Global Neuronal Workspace (GNW) theory; directly involved in IIT vs GWT adversarial collaboration.,"Stanislas Dehaene's lab at CEA Paris-Saclay; the primary institutional base for Global Neuronal Workspace (GNW) theory, which proposes that consciousness arises when information is broadcast across a network of interconnected cortical areas. GNW is one of the most directly applicable theories for AI: its emphasis on information broadcasting and access has clear architectural analogues in transformer models, making it a key framework in AI consciousness assessment.",university-centre,research,France,2006,https://joliot.cea.fr/drf/joliot/en/Pages/research_entities/NeuroSpin.aspx,2026-03-17,National research lab rather than university department — org_type reflects this ambiguity.,1.0,Stanislas Dehaene (Director)|https://www.college-de-france.fr/en/chair/stanislas-dehaene-experimental-cognitive-psychology-statutory-chair/biography,"Dehaene, S. & Changeux, J.-P. (2011). Experimental and theoretical approaches to conscious processing. Neuron|https://www.unicog.org/publications/DehaeneChangeux_ReviewConsciousness_Neuron2011.pdf; Dehaene, S. (2014). Consciousness and the Brain. Viking|https://pmc.ncbi.nlm.nih.gov/articles/PMC3971003/"
Brain and Cognition Group (University of Amsterdam),https://www.uva.nl/en/research/uva-research-institutes/brain-and-cognition/brain-and-cognition.html,consciousness-science,,included,Victor Lamme's Recurrent Processing Theory (RPT) is a major rival to IIT and GNW in AI consciousness debates.,"Victor Lamme's research group at the University of Amsterdam; home of Recurrent Processing Theory (RPT), which holds that recurrent local cortical feedback is necessary and sufficient for phenomenal consciousness. RPT is a major rival to IIT and GNW in AI consciousness debates, tested against both in the COGITATE adversarial collaboration, and is one of the theories applied to AI systems in Butlin et al. (2023).",university-centre,research,Netherlands,unknown,https://www.uva.nl/en/research/uva-research-institutes/brain-and-cognition/brain-and-cognition.html,2026-03-17,,1.0,Victor Lamme (PI)|https://scholar.google.com/citations?user=QU5-DJEAAAAJ&hl=en,"Lamme, V. A. F. (2003). Why visual attention and awareness are different. Trends in Cognitive Sciences|https://philpapers.org/rec/LAMWVA; Lamme, V. A. F. (2006). Towards a true neural stance on consciousness. Trends in Cognitive Sciences|https://philpapers.org/rec/LAMTAT-3"
Paris Brain Institute — PICNIC Group,https://parisbraininstitute.org/brain-function-cards/consciousness,consciousness-science,,included,One of Europe's premier clinical-consciousness neuroscience groups; theoretical reach into global workspace accounts.,"Clinical consciousness neuroscience group at the Paris Brain Institute (Institut du Cerveau), led by Jacobo Sitt. Investigates disorders of consciousness and neural correlates of awareness using large-scale brain signal screening and machine learning classification. Its theoretical connections to Global Workspace Theory — one of the consciousness frameworks most directly applicable to AI — make PICNIC's clinical work relevant to the question of how consciousness might be detected in artificial systems.",university-centre,research,France,unknown,https://parisbraininstitute.org/brain-function-cards/consciousness,2026-03-17,,1.0,Jacobo Sitt (Group Leader)|https://parisbraininstitute.org/collaborators/jacobo-sitt,"Sitt, J. D. et al. (2014). Large scale screening of neural signatures of consciousness. Brain|https://pmc.ncbi.nlm.nih.gov/articles/PMC4610185/"
Institute for Advanced Consciousness Studies (IACS),https://advancedconsciousness.org/,consciousness-science,,included,Independent nonprofit using neuroimaging and neuromodulation to study discrete consciousness states; more experimentally than theoretically focused.,"Independent nonprofit research lab based in Santa Monica, California. Uses neuroimaging, neuromodulation, and systematic study of altered states — including psychedelics and meditation — to identify neural correlates of discrete consciousness states. More experimentally than theoretically focused, IACS occupies a distinctive niche: generating empirical data on the boundaries of conscious experience that consciousness theories applied to AI must ultimately account for.",nonprofit,research,USA,2019,https://advancedconsciousness.org/,2026-03-17,,1.0,Nicco Reggente (PI)|https://advancedconsciousness.org/nicco-reggente/,
Allen Institute — Brain and Consciousness Division,https://alleninstitute.org/division/consciousness/,consciousness-science,,included,Christof Koch drove the Neural Correlates of Consciousness programme here; Allen Institute data are used in empirical tests of IIT and GWT.,"Research division at the Allen Institute seeking to understand the physical substrate of consciousness in the mammalian brain. Christof Koch drove the Neural Correlates of Consciousness programme here. Its MindScope program maps large-scale neural activity and serves as a primary node in the COGITATE adversarial collaboration — the most ambitious empirical test of competing consciousness theories, whose results inform which frameworks are most applicable to AI.",nonprofit,research,USA,2003,https://alleninstitute.org/division/consciousness/,2026-03-17,,1.0,Christof Koch (former Chief Scientist)|https://christofkoch.com/,"Koch, C. et al. (2016). Neural correlates of consciousness: progress and problems. Nature Reviews Neuroscience|https://www.nature.com/articles/nrn.2016.22; Koch, C. (2019). The Feeling of Life Itself. MIT Press|https://mitpress.mit.edu/9780262539555/the-feeling-of-life-itself/"
