org_name,slug,domain,method,status,path
Center for Sleep and Consciousness (UW–Madison),center-for-sleep-and-consciousness-uwmadison,centerforsleepandconsciousness.psychiatry.wisc.edu,none,manual_needed,
Center for Consciousness Studies (University of Arizona),center-for-consciousness-studies-university-of-arizona,consciousnesscenter.arizona.edu,none,manual_needed,
Center for Consciousness Science (University of Michigan),center-for-consciousness-science-university-of-michigan,medresearch.umich.edu,favicon,ok,/Users/mitchel/digital-minds-map/outputs/logos/center-for-consciousness-science-university-of-michigan.png
Sussex Centre for Consciousness Science,sussex-centre-for-consciousness-science,sussex.ac.uk,favicon,ok,/Users/mitchel/digital-minds-map/outputs/logos/sussex-centre-for-consciousness-science.png
Wellcome Centre for Human Neuroimaging / FIL (UCL),wellcome-centre-for-human-neuroimaging-fil-ucl,fil.ion.ucl.ac.uk,og_image,ok,/Users/mitchel/digital-minds-map/outputs/logos/wellcome-centre-for-human-neuroimaging-fil-ucl.png
UNICOG / NeuroSpin (CEA Paris-Saclay),unicog-neurospin-cea-paris-saclay,joliot.cea.fr,og_image,ok,/Users/mitchel/digital-minds-map/outputs/logos/unicog-neurospin-cea-paris-saclay.png
Brain and Cognition Group (University of Amsterdam),brain-and-cognition-group-university-of-amsterdam,uva.nl,favicon,ok,/Users/mitchel/digital-minds-map/outputs/logos/brain-and-cognition-group-university-of-amsterdam.png
Paris Brain Institute — PICNIC Group,paris-brain-institute-picnic-group,parisbraininstitute.org,og_image,ok,/Users/mitchel/digital-minds-map/outputs/logos/paris-brain-institute-picnic-group.png
Institute for Advanced Consciousness Studies (IACS),institute-for-advanced-consciousness-studies-iacs,advancedconsciousness.org,og_image,ok,/Users/mitchel/digital-minds-map/outputs/logos/institute-for-advanced-consciousness-studies-iacs.png
Allen Institute — Brain and Consciousness Division,allen-institute-brain-and-consciousness-division,alleninstitute.org,og_image,ok,/Users/mitchel/digital-minds-map/outputs/logos/allen-institute-brain-and-consciousness-division.png
Monash Centre for Consciousness and Contemplative Studies (M3CS),monash-centre-for-consciousness-and-contemplative-studies-m3cs,monash.edu,favicon,ok,/Users/mitchel/digital-minds-map/outputs/logos/monash-centre-for-consciousness-and-contemplative-studies-m3cs.png
Active Inference Institute,active-inference-institute,activeinference.institute,og_image,ok,/Users/mitchel/digital-minds-map/outputs/logos/active-inference-institute.png
